"Izdatki gospodinjstev za koncno potro?njo po vrsti proizvodov in namenu, Slovenija, letno",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSAKCIJE,MERITVE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Stanovanja, voda, elektricna energija, plin in druga goriva",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),18.0,18.4,18.4,18.6,18.4,19.1,19.2,18.9,18.3,18.7,19.1,19.3,18.3,18.7,19.9,19.8,19.6,19.6,20.4,19.7,19.8,19.5,19.2,19.0,-
"Stanovanja, voda, elektricna energija, plin in druga goriva",Stalne cene predhodnega leta (mio EUR),...,1188.3,1370.9,1538.8,1706.6,1878.4,2129.6,2350.5,2552.8,2728.8,2945.3,3135.5,3315.6,3521.1,3955.9,4144.9,4176.4,4249.0,4154.6,4314.2,4277.7,4424.3,4440.9,4581.1,...
"Stanovanja, voda, elektricna energija, plin in druga goriva","Stalne cene, referencno leto 2010 (mio EUR)",3051.4,3156.0,3202.1,3248.7,3327.7,3372.8,3445.0,3478.0,3529.4,3638.6,3741.0,3781.8,3867.6,3980.9,4167.6,4217.7,4176.4,4170.2,4056.4,4005.4,4012.2,4080.2,4078.1,4097.1,...
"Stanovanja, voda, elektricna energija, plin in druga goriva",Letna sprememba obsega (%),...,3.4,1.5,1.5,2.4,1.4,2.1,1.0,1.5,3.1,2.8,1.1,2.3,2.9,4.7,1.2,-1.0,-0.1,-2.7,-1.3,0.2,1.7,-0.1,0.5,...
..Dejanske najemnine za stanovanje,Tekoce cene (mio EUR),31.1,35.5,39.7,43.5,47.5,52.9,59.6,66.0,77.9,90.4,99.9,107.0,114.8,123.6,154.8,153.1,143.6,138.9,134.3,130.6,132.9,135.4,139.8,146.5,...
..Dejanske najemnine za stanovanje,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,-
..Dejanske najemnine za stanovanje,Stalne cene predhodnega leta (mio EUR),...,31.5,35.9,40.3,44.2,50.2,54.6,60.7,74.1,87.3,96.5,103.7,111.3,112.4,129.2,153.4,144.2,141.2,135.8,131.6,130.3,133.2,132.8,138.0,...
..Dejanske najemnine za stanovanje,"Stalne cene, referencno leto 2010 (mio EUR)",88.9,90.1,91.3,92.5,93.8,99.1,102.2,104.1,116.8,131.0,139.8,145.0,150.9,147.8,154.5,153.1,144.2,141.7,138.6,135.8,135.6,135.9,133.3,131.5,...
..Dejanske najemnine za stanovanje,Letna sprememba obsega (%),...,1.4,1.3,1.3,1.5,5.6,3.2,1.8,12.2,12.1,6.8,3.7,4.1,-2.1,4.5,-0.9,-5.8,-1.7,-2.2,-2.0,-0.2,0.2,-1.9,-1.3,...
..Pripisane najemnine za stanovanje,Tekoce cene (mio EUR),743.1,871.2,958.2,1051.0,1143.5,1282.0,1431.7,1559.6,1612.4,1719.4,1814.7,1878.6,1969.7,2114.1,2362.5,2239.5,2194.9,2150.6,2308.1,2264.3,2392.4,2460.1,2536.3,2647.5,...
..Pripisane najemnine za stanovanje,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),11.7,11.9,11.6,11.7,11.3,11.7,11.8,11.7,11.1,11.2,11.2,11.2,10.6,10.4,11.5,10.5,10.1,9.9,10.8,10.5,10.9,10.8,10.7,10.6,-
..Pripisane najemnine za stanovanje,Stalne cene predhodnega leta (mio EUR),...,756.5,885.2,975.0,1068.8,1161.9,1321.1,1454.9,1569.4,1650.4,1764.9,1842.9,1915.0,1996.2,2147.3,2386.8,2265.5,2208.7,2154.1,2323.4,2276.4,2408.7,2477.4,2555.1,...
..Pripisane najemnine za stanovanje,"Stalne cene, referencno leto 2010 (mio EUR)",1728.0,1759.0,1787.2,1818.5,1849.3,1878.9,1936.3,1967.6,1979.9,2026.6,2080.2,2112.5,2153.4,2182.5,2216.8,2239.5,2265.5,2279.8,2283.6,2298.8,2311.1,2326.9,2343.3,2360.7,...
..Pripisane najemnine za stanovanje,Letna sprememba obsega (%),...,1.8,1.6,1.8,1.7,1.6,3.1,1.6,0.6,2.4,2.6,1.6,1.9,1.3,1.6,1.0,1.2,0.6,0.2,0.7,0.5,0.7,0.7,0.7,...
..Vzdr?evanje in popravilo stanovanja,Tekoce cene (mio EUR),10.3,11.2,12.7,13.6,15.0,17.0,17.8,19.3,21.1,23.5,44.7,45.8,53.0,61.2,70.0,61.0,64.2,66.1,64.9,71.0,73.9,76.2,79.7,86.8,...
..Vzdr?evanje in popravilo stanovanja,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-
